Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.34      0.01     0.01    79569     0.00     0.00  Cube::getTemperature()
 33.34      0.02     0.01     2020     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
 33.34      0.03     0.01                             Cube::calcSpeed(double)
  0.00      0.03     0.00    67531     0.00     0.00  std::vector<std::vector<Cube, std::allocator<Cube> >, std::allocator<std::vector<Cube, std::allocator<Cube> > > >::operator[](unsigned long)
  0.00      0.03     0.00    57190     0.00     0.00  vector3::~vector3()
  0.00      0.03     0.00    56486     0.00     0.00  Cube::getVolume()
  0.00      0.03     0.00    48711     0.00     0.00  std::vector<Cube, std::allocator<Cube> >::operator[](unsigned long)
  0.00      0.03     0.00    47646     0.00     0.00  Cube::getMoleculesCount()
  0.00      0.03     0.00    43103     0.00     0.00  Cube::setPressure(double)
  0.00      0.03     0.00    43003     0.00     0.00  Cube::calcPressure()
  0.00      0.03     0.00    38490     0.00     0.00  vector3::setPrintPrecision(int)
  0.00      0.03     0.00    38490     0.00     0.00  vector3::vector3(double, double, double)
  0.00      0.03     0.00    22323     0.00     0.00  Cube::setDensity(double)
  0.00      0.03     0.00    22323     0.00     0.00  Cube::calcDensity()
  0.00      0.03     0.00    21359     0.00     0.00  airDelta const& std::forward<airDelta const&>(std::remove_reference<airDelta const&>::type&)
  0.00      0.03     0.00    19700     0.00     0.00  vector3::getPrintPrecision() const
  0.00      0.03     0.00    18840     0.00     0.00  std::vector<Cube, std::allocator<Cube> >::size() const
  0.00      0.03     0.00    18780     0.00     0.00  Cube::getWidth()
  0.00      0.03     0.00    18780     0.00     0.00  Cube::getLength()
  0.00      0.03     0.00    18700     0.00     0.00  vector3::vector3(vector3 const&)
  0.00      0.03     0.00    15858     0.00     0.00  std::_List_iterator<airDelta>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00    14780     0.00     0.00  Cube::getHeight()
  0.00      0.03     0.00    14680     0.00     0.00  Cube::getCoordsInArea() const
  0.00      0.03     0.00    13483     0.00     0.00  Cube::setMass(double)
  0.00      0.03     0.00    13483     0.00     0.00  Cube::calcMass()
  0.00      0.03     0.00    10940     0.00     0.00  vector3::operator=(vector3 const&)
  0.00      0.03     0.00    10000     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      0.03     0.00     9858     0.00     0.00  std::_List_base<airDelta, std::allocator<airDelta> >::_M_get_Node_allocator()
  0.00      0.03     0.00     9572     0.00     0.00  std::list<airDelta, std::allocator<airDelta> >::end()
  0.00      0.03     0.00     8800     0.00     0.00  Area::CheckCoordsStillInArea(coords)
  0.00      0.03     0.00     8719     0.00     0.00  Cube::getMaxCoordsInArea()
  0.00      0.03     0.00     8719     0.00     0.00  Cube::checkCoordsStillInArea(coords)
  0.00      0.03     0.00     8670     0.00     0.00  Area::GetCubesCountWidth()
  0.00      0.03     0.00     8670     0.00     0.00  Area::GetCubesCountLength()
  0.00      0.03     0.00     7929     0.00     0.00  std::_List_iterator<airDelta>::operator!=(std::_List_iterator<airDelta> const&) const
  0.00      0.03     0.00     7840     0.00     0.00  vector3::operator+(vector3 const&) const
  0.00      0.03     0.00     6840     0.00     0.00  Cube::calcGradientForce(Cube*)
  0.00      0.03     0.00     6840     0.00     0.00  vector3::operator+=(vector3 const&)
  0.00      0.03     0.00     6286     0.00     0.00  std::list<airDelta, std::allocator<airDelta> >::begin()
  0.00      0.03     0.00     6000     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.03     0.00     5159     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00     5000     0.00     0.00  Cube::getSpeed()
  0.00      0.03     0.00     5000     0.00     0.00  vector3::operator*(double const&) const
  0.00      0.03     0.00     4929     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<airDelta> >::deallocate(std::_List_node<airDelta>*, unsigned long)
  0.00      0.03     0.00     4929     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<airDelta> >::destroy<std::_List_node<airDelta> >(std::_List_node<airDelta>*)
  0.00      0.03     0.00     4929     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<airDelta> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00     4929     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<airDelta> >::construct<std::_List_node<airDelta>, airDelta const&>(std::_List_node<airDelta>*, airDelta const&)
  0.00      0.03     0.00     4929     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<airDelta> >::max_size() const
